Op;DataLogCdc;IDFaturamento;IDEletroposto;IDCliente;StatusPagamento;ValorPagamento;DataTransacao
INSERT;2026-05-21 03:20:31;FAT_1;ELETRO_443;IDCliente_66;Pendente;362.1;2026-05-21 03:20:31
UPDATE;2026-05-23 03:20:31;FAT_1;ELETRO_443;IDCliente_66;Cancelado;362.1;2026-05-21 03:20:31
INSERT;2026-01-24 12:57:20;FAT_2;ELETRO_421;IDCliente_99;Pendente;165.08;2026-01-24 12:57:20
UPDATE;2026-01-27 13:57:20;FAT_2;ELETRO_421;IDCliente_99;Pago;165.08;2026-01-24 12:57:20
INSERT;2026-04-18 21:19:52;FAT_3;ELETRO_16;IDCliente_28;Pago;189.23;2026-04-18 21:19:52
INSERT;2026-04-17 01:22:36;FAT_4;ELETRO_74;IDCliente_33;Pendente;61.48;2026-04-17 01:22:36
UPDATE;2026-04-19 12:22:36;FAT_4;ELETRO_74;IDCliente_33;Pago;61.48;2026-04-17 01:22:36
INSERT;2026-05-22 04:13:16;FAT_5;ELETRO_61;IDCliente_62;Pago;268.07;2026-05-22 04:13:16
INSERT;2026-01-08 03:47:47;FAT_6;ELETRO_221;IDCliente_33;Pendente;72.53;2026-01-08 03:47:47
INSERT;2026-03-03 10:44:29;FAT_7;ELETRO_303;IDCliente_21;Pago;112.53;2026-03-03 10:44:29
INSERT;2026-05-23 02:30:27;FAT_8;ELETRO_366;IDCliente_97;Pendente;135.38;2026-05-23 02:30:27
UPDATE;2026-05-24 06:30:27;FAT_8;ELETRO_366;IDCliente_97;Pago;135.38;2026-05-23 02:30:27
INSERT;2026-01-24 04:11:58;FAT_9;ELETRO_275;IDCliente_44;Pendente;97.69;2026-01-24 04:11:58
UPDATE;2026-01-27 15:11:58;FAT_9;ELETRO_275;IDCliente_44;Cancelado;97.69;2026-01-24 04:11:58
INSERT;2026-02-17 05:01:46;FAT_10;ELETRO_235;IDCliente_4;Pago;213.32;2026-02-17 05:01:46
INSERT;2026-03-21 22:14:21;FAT_11;ELETRO_115;IDCliente_61;Pago;120.16;2026-03-21 22:14:21
INSERT;2026-03-15 11:43:03;FAT_12;ELETRO_165;IDCliente_7;Pendente;280.88;2026-03-15 11:43:03
UPDATE;2026-03-18 22:43:03;FAT_12;ELETRO_165;IDCliente_7;Pago;280.88;2026-03-15 11:43:03
